State,Average,Male,Female
Bihar,63.82,73.39,53.33
Arunachal Pradesh,66.95,73.69,59.57
Rajasthan,67.06,80.51,52.66
Jharkhand,67.63,78.45,56.21
Andhra Pradesh,67.66,75.56,59.74
Telangana,67.66,75.56,59.74
Jammu and Kashmir,68.74,78.26,58.01
Uttar Pradesh,69.72,79.24,59.26
Madhya Pradesh,70.63,80.53,60.02
Chhattisgarh,71.04,81.45,60.59
Assam,73.18,78.81,67.27
Odisha,73.45,82.40,64.36
India,74.04,82.14,65.46
Meghalya,75.48,77.17,73.78
Karnataka,75.60,82.85,68.13
Haryana,76.64,85.38,66.77
Punjab,76.68,81.48,71.34
West Bengal,77.08,82.67,71.16
Dadra and Nagar Haveli,77.65,86.46,65.93
Gujarat,79.31,87.23,70.73
Uttarakhand,79.63,88.33,70.70
Manipur,79.85,86.49,73.17
Nagaland,80.11,83.29,76.69
Tamilnadu,80.33,86.81,73.86
Sikkim,82.20,87.29,76.43
Maharashtra,82.91,89.82,75.48
Himachal Pradesh,83.78,90.83,76.60
A&N islands,86.27,90.11,81.84
Delhi,86.34,91.03,80.93
Chandigarh,86.43,90.54,81.38
Puducherry,86.55,92.12,81.22
Daman & Diu,87.07,91.48,79.59
Goa,87.40,92.81,81.84
Tripura,87.75,92.18,83.15
Mizoram,91.58,93.72,89.40
Lakshadweep,92.28,96.11,88.25
Kerala,93.91,96.02,91.98